consumer 消费者
social 社交的
product 产品
likely 很可能的；大概
system 系统
activity 活力
reward 报酬；酬谢
stress 压力
expert 专家；专门的
concern  涉及；（利害）关系
university 大学
individual 个体；个人的
view 视野；观察
opportunity 机会
hunt 打猎；寻找
challenge 挑战
process 过程；加工
project 工程
amount 总数
ability 能力
rate 费用；评估
radiation 辐射
feature 特征；以....为特色
environment 环境
create 创造
crash 碰撞；失败
advertise 公告；登广告
tend 趋向
status 地位，情况
reader 读物
per 每
local 地方的
highway 公路
brand 商标
assume 假装
physical 物质的
instant 立即的；瞬间
focus 焦点；使聚焦
fashion  风尚
expand 膨胀
effective 有效的
declare 宣布
benefit 利益
adult 成年人
affect 影响
compete 对抗
global 全球的
policy 政策
account 账户；说明
foundation 基础，基金会
involve 卷入
technology 科学技术
competition 竞争
behavior 行为
community 社区
range 范围，山脉；排列成行
maintain 维修
action 行动
obvious 明显的
primarily 首先
appeal 呼吁
detail 细节
decade 十年
pollution 污染
advantage 有点
culture 文化
autobiography 自传
leader 领导者
accordingly 相应地
plastic 塑料
approve 赞同
performance 表演，执行
recognize 承认
factor 因素
enormous 巨大的
avoid 逃避
shift 转换
source 来源
fulfill 完成
moral 道德的
rank 军衔，排名；分等级
replace 取代
complex 复杂的
injury 伤害
outcome 结果
insurance 保险
impression 印象
household 家庭；家庭的
claim 要求
personality 个性
personnel 全体人员
employee 雇员
reserve 储备；保留
approach 接近
capacity 容积，能力
generally 通常
automobile 汽车
male 男性
regardless 不管....的
contact 联系
wealthy 富有的；富人
estimate 评估
incident 事变
device 装置
error 错误
relationship 关系
recently 最近
scale 刻度
union 联合，团结
climate 气候
available 可利用的
criticism 评论；批评
diet 饮食
civilian 平民
ground 地
liberal 大方的
establish 建立
indicate 指出，暗示
accomplish 实现
finally 最终
spot 斑点
potential 潜在的；潜能
professional 职业的；专业人员
idea 理想的；理想
reflect 反映
considerable 相当的
influence 影响
trace 痕迹；描述
attitude 态度
chemical 化学的；化学制品
network 网络
positive 肯定的，积极的
territory 领土
engage 从事
witness 目击者
welfare 幸福
career 事业，职业
attach 贴，连接
profit 收益
musician 音乐家
purchase 买
competitive 竞争的
particularly 特别地
assign 分配
response 回答，响应
pace 步伐
complaint 抱怨
identify 识别
arise 出现
victim 牺牲品
sample 样品；采样
modify 更改
property 财产
structure 结构；建造
target 目标
belief 信仰
minority 少数，少数民族
resistant 抵抗的
theory 理论
signal 信号
bloom 花；开花
cheat 欺骗
instance 例子
transfer 转换
threaten 恐吓
abroad 到国外
audience 听众
scan 扫描
corporation 公司
threat 恐吓
gas 气体
promote 促进
industrial 工业的
style 风格
grant 同意
apply 申请
extend 延长
install 安装
impact 冲击；影响
function 功能
user 用户
propose 提议
alter 改变
agency 代理
contribute 贡献
educate 教育
absent 缺席的
poison 毒药
airline 航线
possibility 可能
flash 闪光的
nuclear 核心的
nucleus 核心
raw 生的
extensive 广阔的
military 军用的
directly 直接地
deny 否认
absorb 吸收，使全神贯注
committee 委员会
complain 抱怨
aid 援助
protein 蛋白质
statement 声明
institution 公共机构
route 路程
associate 联想
growth 生长
convince 使确信
liberate 释放
cell 细胞
publish 出版
youngster 年轻人
failure 失败
faint 微弱的；昏倒
rob 抢劫
resident 居民
fund 资金
appearance 出现，外表
portable 可移动的
efficient 有效的
preference 偏爱
solution 解答，溶解
confidence 信任
treatment 治疗
adopt 采用
skilled 有技能的
cultivate 耕种
respond 回答
vary 改变
exit 出口
survey 眺望
lest 免得
vehicle 车辆
constant 固定的
